species,lifeform,longitude,latitude
Acacia mearns De Willd.,Tree,-38.22805556,-6.759166667
Acacia mearns De Willd.,Tree,-38.51666667,-6.379444444
Acacia mearns De Willd.,Tree,-38.41222222,-6.518333333
Acacia mearns De Willd.,Tree,-38.16972222,-6.512222222
Acacia mearns De Willd.,Tree,-38.06194444,-6.532777778
Acacia mearns De Willd.,Tree,-37.7,-7.55
Acacia mearns De Willd.,Tree,-38.04777778,-6.771666667
Acacia mearns De Willd.,Tree,-38.31972222,-6.911666667
Acacia mearns De Willd.,Tree,-37.80388889,-6.968055556
Acacia mearns De Willd.,Tree,-38.34361111,-7.038888889
Acacia mearns De Willd.,Tree,-38.50138889,-7.118055556
Acacia mearns De Willd.,Tree,-38.50527778,-7.308333333
Acacia mearns De Willd.,Tree,-38.67416667,-6.926944444
Acacia mearns De Willd.,Tree,-38.63805556,-6.720277778
Acacia mearns De Willd.,Tree,-38.44805556,-6.731111111
Acacia mearns De Willd.,Tree,-38.59694444,-6.578611111
Acacia mearns De Willd.,Tree,-38.52944444,-6.571944444
Acacia mearns De Willd.,Tree,-38.55138889,-6.4525
Acacia mearns De Willd.,Tree,-38.27777778,-6.544166667
Acacia mearns De Willd.,Tree,-38.35194444,-6.838611111
Acacia mearns De Willd.,Tree,-38.57527778,-7.212777778
Acacia mearns De Willd.,Tree,-38.22805556,-6.759166667
Acacia mearns De Willd.,Tree,-38.51666667,-6.379444444
Acacia mearns De Willd.,Tree,-38.41222222,-6.518333333
Acacia mearns De Willd.,Tree,-38.16972222,-6.512222222
Acacia mearns De Willd.,Tree,-38.06194444,-6.532777778
Acacia mearns De Willd.,Tree,-37.7,-7.55
Acacia mearns De Willd.,Tree,-38.04777778,-6.771666667
Acacia mearns De Willd.,Tree,-38.31972222,-6.911666667
Acacia mearns De Willd.,Tree,-37.80388889,-6.968055556
Acacia mearns De Willd.,Tree,-38.34361111,-7.038888889
Acacia mearns De Willd.,Tree,-38.50138889,-7.118055556
Acacia mearns De Willd.,Tree,-38.50527778,-7.308333333
Acacia mearns De Willd.,Tree,-38.67416667,-6.926944444
Acacia mearns De Willd.,Tree,-38.63805556,-6.720277778
Acacia mearns De Willd.,Tree,-38.44805556,-6.731111111
Acacia mearns De Willd.,Tree,-38.59694444,-6.578611111
Acacia mearns De Willd.,Tree,-38.52944444,-6.571944444
Acacia mearns De Willd.,Tree,-38.55138889,-6.4525
Acacia mearns De Willd.,Tree,-38.27777778,-6.544166667
Acacia mearns De Willd.,Tree,-38.35194444,-6.838611111
Acacia mearns De Willd.,Tree,-38.57527778,-7.212777778
Aristida adscensionis L.,Grassy,-40.693763,-9.336891
Aristida adscensionis L.,Grassy,-39.8623,-9.8767
Aristida adscensionis L.,Grassy,-42.281111,-13.828611
Aristida adscensionis L.,Grassy,-37.2025,-8.405556
Aristida adscensionis L.,Grassy,-41.470556,-12.458333
Aristida adscensionis L.,Grassy,-36.823333,-7.888889
Aristida adscensionis L.,Grassy,-39.103063,-8.08848
Aristida adscensionis L.,Grassy,-40.471138,-9.420694
Aristida adscensionis L.,Grassy,-39.1128,-6.750752
Aristida adscensionis L.,Grassy,-41.468056,-10.359722
Aristida adscensionis L.,Grassy,-37.237166,-8.514611
Aristida adscensionis L.,Grassy,-37.252041,-8.533083
Aristida adscensionis L.,Grassy,-37.244888,-8.530416
Aristida adscensionis L.,Grassy,-38.394722,-6.551111
Aristida adscensionis L.,Grassy,-37.279555,-8.039166
Aristida adscensionis L.,Grassy,-43.482222,-9.220833
Aristida adscensionis L.,Grassy,-43.482222,-9.220833
Aristida adscensionis L.,Grassy,-39.076138,-7.812694
Aristida adscensionis L.,Grassy,-40.548163,-9.328741
Aristida adscensionis L.,Grassy,-40.548805,-9.326194
Aristida adscensionis L.,Grassy,-40.548611,-9.326111
Aristida adscensionis L.,Grassy,-39.319805,-8.212277
Aristida adscensionis L.,Grassy,-39.319805,-8.212277
Aristida adscensionis L.,Grassy,-40.548163,-9.328741
Aristida adscensionis L.,Grassy,-41.509167,-12.730833
Aristida adscensionis L.,Grassy,-40.554208,-9.329961
Aristida adscensionis L.,Grassy,-40.55363,-9.329772
Aristida adscensionis L.,Grassy,-40.551344,-9.327861
Aristida adscensionis L.,Grassy,-40.55025,-9.316916
Aristida adscensionis L.,Grassy,-41.21475,-9.270327
Aristida adscensionis L.,Grassy,-37.829916,-8.36325
Aristida adscensionis L.,Grassy,-37.228944,-7.875027
Aristida adscensionis L.,Grassy,-38.896944,-8.870833
Aristida adscensionis L.,Grassy,-42.301389,-10.001111
Aristida adscensionis L.,Grassy,-42.504167,-10.003333
Aristida adscensionis L.,Grassy,-37.688333,-5.6025
Aristida adscensionis L.,Grassy,-41.904444,-11.209722
